quartz,plagioclase,kfeldspar,chert,shale,volcanic,calcitecement,quartzcement,ironoxidecement,muscovite,biotite,amphibole,zircon,glauconite,other,unknown
5312,72.5,0,0,9,0,3.5,0,14.5,0,0,0,0,0.5,0,0,0
D,71,0.5,0,0,0,4,0,0,24.5,0,0,0,0,0,0,0
f1,35.5,43,5.5,2,0.5,1.5,0,0,10,1.5,0,0,0.5,0,0,0
FOU,33,35,10,0.5,5.5,0.5,0,0,13,1.5,0,0,0.5,0,0.5,0
GC,55,0.5,0,8,0,4.5,3,0,29,0,0,0,0,0,0,0
M,51.5,11.5,0.5,10.5,0,11.5,6.5,0,6.5,0,0.5,0.5,0,0,0.5,0
P52,36,45.5,6,1,5.5,0,0,0,5,0.5,0,0.5,0,0,0,0
RC,53,0,0,5,0,20.5,15,0,6.5,0,0,0,0,0,0,0
ZZ-107,64.5,0,0,0,0,0,0,21.5,14,0,0,0,0,0,0,0
ZZ-112,66.5,0,0,0,0,2,13.5,4.5,13.5,0,0,0,0,0,0,0
ZZ-123,52,4.5,0,1.5,0,0,33.5,0,5,1.5,0.5,0,0.5,1,0,0
ZZ-16,59.5,7.5,0.5,2.5,3,12,0.5,4,9,0.5,0.5,0,0,0.5,0,0
ZZ-338,69.5,5,0,0,0,0,9,9,7,0,0,0,0,0.5,0,0
ZZ-342,34.5,4.5,0,0,0,0,54.5,0,5,1,0,0,0,0.5,0,0
ZZ-343,38.5,1,0,0,0,0,51.5,0,7.5,1,0,0,0,0.5,0,0
ZZ-344,86,0.5,0,0,0,0,0,6,7,0,0,0,0.5,0,0,0
ZZ-345,38,10,3,26.5,0.5,4.5,0,0.5,15,2,0,0,0,0,0,0
ZZ-350,29,57,0.5,0,0,0.5,1,0,4.5,0,0,0,0,7.5,0,0
ZZ-351,51,18,1,8.5,8,1.5,1.5,1,2.5,5.5,1.5,0,0,0,0,0
ZZ-352,73,4.5,0.5,5,3.5,5.5,0,4.5,2.5,0.5,0,0,0,0.5,0,0
ZZ-353,66,8,3,8.5,2,5,0,4,0.5,3,0,0,0,0,0,0
ZZ-354,21.5,56,0,4,5,0,6,0,1,2,4,0,0,0.5,0,0
ZZ-355,87,1,0,1.5,0,0,0.5,5.5,3,0,0,0,1,0,0,0.5
ZZ-357,83,2,0,3,0,0,0,5.5,6.5,0,0,0,0,0,0,0
ZZ-73,53.5,7,0.5,1.5,0.5,0,7.5,0,26,3,0,0,0.5,0,0,0
